title,year,series,author
Harry Potter and the Philosopher's Stone,1997,Harry Potter;J.K. Rowling
Harry Potter and the Chamber of Secrets,1998,Harry Potter,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,1999,Harry Potter,J.K. Rowling
Harry Potter and the Goblet of Fire,2000,Harry Potter,J.K. Rowling
Harry Potter and the Order of the Phoenix,2003,Harry Potter,J.K. Rowling
Harry Potter and the Half-Blood Prince,2005,Harry Potter,J.K. Rowling
Harry Potter and the Deathly Hallows,2007,Harry Potter,J.K. Rowling
The Cuckoo's Calling,2013,Cormoran Strike,Robert Galbraith
The Silkworm,2014,Cormoran Strike,Robert Galbraith
Career of Evil,2015,Cormoran Strike, Robert Galbraith
Lethal White,2018,Cormoran Strike,Robert Galbraith
Troubled Blood,2020Cormoran Strike,Robert Galbraith
